Site class,Site code,plot_code,Latitud,Longitud,cavity_dimension_cm (H x W x D),Camera ID,Installation date,First check date,comments ,Take down date ,camera end date,Altura ,Ancho 
Natural regeneration,NR_1,N1,,,,B160601791,5.10.2020,19.11.2020,,19/02/2021,17/02/2021,,
Natural regeneration,NR_2,N3,,,,B160601777,5.10.2020,19.11.2020,,19/02/2021,23/01/2021,,
Natural regeneration,NR_3,N7,,,,B160601792,7.10.2020,19.11.2020,,19/02/2021,15/02/2021,,
Natural regeneration,NR_4,N6,,,,B160601512,7.10.2020,19.11.2020,,20/02/2021,14/02/2021,,
Natural regeneration,NR_5,N10,,,,B160601759,12.10.2020,19.11.2020,,19/02/2021,19/02/2021,,
Low Balsa,N_1,L1,,,,B160601515,6.10.2020,19.11.2020,,19/02/2021,9/1/2021,,
Low Balsa,N_2,L8,,,,B160601529,7.10.2020,19.11.2020,,19/02/2021,20/01/2021,,
Low Balsa,N_3,L5,,,,B160601788,7.10.2020,19.11.2020,,20/02/2021,28/01/2021,,
Low Balsa,N_4,L4,,,,OC_20_27,7.10.2020,19.11.2020,,20/02/2021,13/12/2020,,
Low Balsa,N_5,L10,,,,B160601827,12.10.2020,19.11.2020,,19/02/2021,8/12/2020,,
Medium Balsa,M_1,M7 ,,,,OC-20-6,28.09.2020,27.11.2020,,19/02/2021,4/2/2021,,
Medium Balsa,M_2,M1,,,,B160601916,5.10.2020,19.11.2020,,19/02/2021,14/02/2021,,
Medium Balsa,M_3,M4,,,,B160601509,6.10.2020,27.11.2020,,19/02/2021,13/02/2021,,
Medium Balsa,M_4,M9,,,,B160601533,12.10.2020,27.11.2020,,19/02/2021,19/02/2021,,
Medium Balsa,M_5,M8,,,,B160601913,12.10.2020,27.11.2020,,19/02/2021,16/02/2021,,
High Balsa,H_1,H8,,,,OC-20-34,28.09.2020,27.11.2020,,19/02/2021,29/11/2020,,
High Balsa,H_2,H7,,,,B160601795,7.10.2020,27.11.2020,,19/02/2021,17/02/2021,,
High Balsa,H_3,H9,,,,OC_Q,12.10.2020,27.11.2020,,19/02/2021,19/02/2021,,
High Balsa,H_4,H4,,,,B160601733,5.10.2020,27.11.2020,,19/02/2021,31/12/2020,,
High Balsa,H_5,H5,,,,B160601484,7.10.2020,27.11.2020,,20/02/2021,19/02/2021,,
Forest,F_1,na,8.4068,-83.33656,,B160601922,11.10.2020,15-1-2021,,15/02/2021,15/02/2021,63 cm,27 cm
Forest,F_2,na,8.40876,-83.33582,,OC-20-17,11.10.2021,15-1-2021,,15/02/2021,15/02/2021,1.41 m,85 cm
Forest,F_3,na,8.40934,-83.33375,,OC-20-31,11.10.2022,15-1-2021,,15/02/2021,15/02/2021,66 cm,60 cm
Forest,F_4,na,8.40896,-83.33234,,OC-20-7,11.10.2023,18-11-2020,,23/02/2021,23/02/2021,1.90 m,60 cm
Forest,F_5,na,8.40576,-83.32789,,OC-20-85,11.10.2024,18-11-2020,,23/02/2021,23/02/2021,91 cm,1.21 m
Forest,F_6,na,8.41142,-83.34196,,OC_20_44,29.10.2020,15-1-2021,,20/02/2021,20/02/2021,Destruida ,Destruida 
Forest,F_7,na,8.41323,-83.34468,,B170511961,29.10.2020,15-1-2021,,20/02/2021,5/2/2021,2.20 m,60 cm
Forest,F_8,na,8.41452,-83.34666,,OC_19_13,28.10.2020,15-1-2021,,20/02/2021,20/02/2021,61 cm,1.62 m
Forest,F_9,na,8.41876,-83.34465,,OC_20_71,29.10.2020,15-1-2021,,20/02/2021,20/02/2021,1.70 m,1.15 m
Forest,F_10,na,8.40457,-83.33428,,OC_19_14,30.10.2020,15-1-2021,,19/02/2021,sin videos,50 cm,38 cm
